MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAmideBonds,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumAtomStereoCenters,NumBridgeheadAtoms,NumHAcceptors,NumHDonors,NumHeteroatoms,NumHeterocycles,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,NumSpiroAtoms,NumUnspecifiedAtomStereoCenters,Phi,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,chembl_id,smiles,ic50_value,log_ic50,target_chembl_id,target_name,KMeansCluster,ChemicalClass
11.798051120139416,11.798051120139416,0.156708238851096,-3.135582601095995,0.4451245105150033,10.75,255.36400000000003,242.25999999999996,255.038770656,86,0,0.1778770275839505,-0.2325397005799484,0.2325397005799484,0.1778770275839505,1.1875,1.875,2.5,32.22788298834077,10.337633739420532,2.1192169969838854,-2.022959041674525,2.1117280675147283,-2.064394915248848,7.9099924873989025,0.5916564082237317,2.2983852972894927,2.5025062537849307,462.01774674972233,11.855524862241651,8.795385228049732,10.428378389905184,7.665831887302361,4.980774924681786,7.041288441465803,3.312039105783113,5.603761855080194,2.099855232466708,4.045486330269357,1.2742683872937717,2.757228865747444,-1.0300000000000002,3879.674381824664,13.036800267201068,6.5304287656702895,4.226018714656743,101.13561480633162,0.0,0.0,9.837253136417502,0.0,0.0,0.0,0.0,13.410201716964606,0.0,0.0,18.19910120538483,37.19225082582194,6.544756405912575,15.809598934390111,8.417796984328938,27.216388431589746,0.0,0.0,4.992404732635668,17.737126721369794,12.297610012659364,30.33183534230805,0.0,0.0,0.0,0.0,0.0,12.217873443046695,25.87666884911385,9.837253136417502,0.0,12.84164324585202,40.219723550461495,0.0,0.0,0.0,46.5,9.837253136417502,8.417796984328938,0.0,5.752853606746789,17.86106150435636,6.4208216229260096,0.0,30.33183534230805,0.0,22.37154002780791,0.0,23.59610224027883,4.416704811050274,4.11681571239607,2.2559088911429277,0.0,0.156708238851096,8.480987343935126,1.3129409958427818,0.5494143675988914,-3.135582601095995,0.3636363636363636,16,0,3,0,0,0,0,1,0,1,0,0,4,0,5,0,6,0,0,0,0,0,5.3209934673267485,1,2.3433,67.62180000000004,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,CHEMBL4524323,O=S(=O)(CCCCN=C=S)c1ccccc1,25118.86,4.399999925393822,CHEMBL612545,Unchecked,0,Medium-Nonpolar-Aliphatic-Rigid-Hydrophilic
12.599920005039053,12.599920005039053,0.0677595112118918,-0.5451310153691102,0.7798372740791119,19.714285714285715,327.16700000000003,315.071,326.02249760399997,110,0,0.2829547471503796,-0.3777777516352237,0.3777777516352237,0.2829547471503796,1.0,1.6666666666666667,2.3333333333333335,35.49679152006573,10.254407600001906,2.4171486165624976,-2.2880060838376237,2.343811490430895,-2.400639095867017,6.529110386878751,-0.1207893153542702,2.71297570884513,1.9631805899855157,638.8612201580773,14.98276318419594,11.012929209914654,12.524787101951564,10.109060905280623,6.467796024885934,7.223724970904389,4.659136509165867,5.4443011089157,3.4250958036819346,4.085381976121581,2.4043691830947655,2.9094898207810584,-1.5599999999999996,82463.60964605656,14.380319391846736,5.673993098045311,2.4137256062785166,131.21246391919163,9.636772684650529,10.72932566516943,0.0,0.0,11.814359458703011,0.0,9.589074368143644,4.899909730850477,0.0,0.0,35.33461391738825,12.13273413692322,13.08951281182515,23.92378351745073,14.325937321943693,40.703625513851605,0.0,4.899909730850477,0.0,0.0,31.203186471701464,40.017427252757194,0.0,0.0,4.899909730850477,5.687386274683562,0.0,23.20187978046503,43.017545930404474,14.325937321943693,0.0,0.0,34.99479393901587,5.022633313741326,0.0,0.0,49.85,11.814359458703011,9.589074368143644,0.0,10.72932566516943,37.013296329275875,4.899909730850477,0.0,29.165378004696915,0.0,0.0,27.938742734265084,5.248902793568197,12.170685976036502,27.724031478332073,0.258068415637861,0.5698726851851856,-0.9895754598135548,6.680379823799736,0.0,2.0598565094762185,0.0,0.2857142857142857,21,0,5,0,2,2,2,1,0,1,0,0,4,0,7,2,2,0,1,1,0,0,3.8854206179535966,3,1.9958,79.21600000000004,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHEMBL1334552,O=C1C(Cl)=C(N2CCOCC2)C(=O)N1c1ccccc1Cl,5830.0,3.765668554759014,CHEMBL1293239,Bcl-2-related protein A1,0,Medium-Nonpolar-Aliphatic-Rigid-Hydrophilic
11.40623866213152,11.40623866213152,0.2133952979339881,-0.2133952979339881,0.4613082921687825,9.176470588235292,250.32700000000008,236.21499999999995,250.088832068,90,0,0.3187360414338352,-0.3378670822063722,0.3378670822063722,0.3187360414338352,1.411764705882353,2.176470588235294,2.8823529411764706,32.091937496856,10.294719833228028,1.9886335780011608,-2.0591603265411393,2.016280078544424,-2.2906326545017626,7.778100230994273,0.2516651458814992,2.346963223514708,2.1142299062877834,389.7177212567416,12.347088693804372,9.348751973432336,10.165248554360064,8.325698502695488,5.312050960174569,5.720299250638432,3.296904125485812,3.479478311320867,1.9849899825805484,2.114089427454129,1.1739592741696572,1.2652463670871843,-1.7799999999999998,7444.567344988653,13.285703022339028,8.381007175029442,6.396542104609958,105.35605298714798,10.633577208012662,0.0,0.0,0.0,0.0,6.031114512338072,4.983978520947208,9.786941916707493,0.0,0.0,0.0,37.19225082582194,31.170586229734862,5.1612618521255476,4.794537184071822,29.097636082193876,0.0,10.300767124953538,4.992404732635668,12.84164324585202,18.40630141583148,24.52642128014937,0.0,0.0,10.633577208012662,10.481923458755384,0.0,12.217873443046695,29.26586769723598,0.0,0.0,12.84164324585202,29.51882601278504,0.0,0.0,0.0,66.38,0.0,4.794537184071822,0.0,6.031114512338072,13.08951281182515,18.52902952053558,0.0,24.52642128014937,0.0,37.98909575676778,0.0,0.0,4.44294977121536,19.052057312171225,7.75373913122758,0.7248212517968111,0.0,3.2463487111633764,5.00129492203231,1.2787889003933377,0.0,0.3636363636363636,17,2,5,0,0,0,2,0,1,1,0,0,4,2,6,1,6,0,0,0,0,0,6.549857197384338,1,2.0861,70.38540000000002,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,CHEMBL4573383,O=C(NCCCCN=C=S)Nc1ccncc1,19952.62,4.29999993144297,CHEMBL612545,Unchecked,0,Medium-Nonpolar-Aliphatic-Rigid-Hydrophilic
10.79802729417448,10.79802729417448,0.019455937180504,-0.1311363063744008,0.503080304673095,10.0,264.177,253.08899999999997,262.993840332,82,0,0.2344525757504739,-0.3542270584518463,0.3542270584518463,0.2344525757504739,1.3333333333333333,2.0,2.6,35.496768853447286,10.36409084221476,1.9731258210972964,-2.0265107892340666,2.189646691219981,-2.260019665440416,7.989183121146356,-0.11804845196659,2.2620358872145436,2.202141955045271,315.70335643553636,11.096011838247808,8.003146947264327,10.331501420228964,7.21954535281284,4.431640889708181,6.329726406195745,2.785965514623704,4.657990482857821,1.6279671458685203,3.136430178055318,0.9373998521809512,1.926238386948277,-0.3800000000000001,2479.19133238714,12.688399452804378,6.986891662941064,5.304323590932216,103.3321983398638,5.316788604006331,5.880003444970339,0.0,5.907179729351506,0.0,0.0,4.794537184071822,0.0,0.0,23.36282483962363,11.600939890232516,24.26546827384644,22.215726801918468,0.0,4.794537184071822,40.87094445920766,0.0,5.316788604006331,0.0,4.895483475517775,18.177613457629704,29.288101587587764,0.0,0.0,5.316788604006331,0.0,0.0,34.963764729856145,24.08479318698121,4.794537184071822,0.0,0.0,29.160951749364212,5.022633313741326,0.0,0.0,29.1,0.0,4.794537184071822,0.0,11.787183174321845,6.544756405912575,15.670970396005892,0.0,11.761884949391115,24.26546827384644,5.316788604006331,23.20187978046503,0.0,12.749410624531926,11.93647400619262,3.427467242976503,0.0,0.7119915254899026,7.606356572464376,0.0,0.6238555839002269,0.0,0.3,15,1,2,0,0,0,1,1,0,1,0,0,2,1,5,0,5,0,0,0,0,0,5.910164823524324,1,2.787100000000001,65.90570000000002,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,CHEMBL5420439,O=C(CCl)NCCSc1ccc(Cl)cc1,1400.0,3.146128035678238,CHEMBL5465250,YAP1-TEAD4,0,Medium-Nonpolar-Aliphatic-Rigid-Hydrophilic
13.24520239182637,13.24520239182637,0.1459745842781552,-0.6427469135802466,0.7709902851748698,19.40909090909091,345.15700000000004,334.069,344.013075792,116,0,0.282905765149778,-0.3777777516352238,0.3777777516352238,0.282905765149778,1.0909090909090908,1.7727272727272727,2.409090909090909,35.49679159329436,10.246945644925542,2.4127376956990845,-2.2874521674820874,2.32586749848094,-2.4001117206303517,6.522948593483515,-0.1207909149481718,2.7327956340172785,1.9427135404221587,686.6655647678537,15.853006672199015,11.313543413734257,12.825401305771166,10.502907755397976,6.567461863913508,7.323390809931962,4.806136673039084,5.591301272788918,3.4931233287823704,4.12344343462599,2.411137822517383,2.8707928204677913,-1.63,119073.37136540086,15.27278725598596,5.869965111796264,2.470028837966326,135.37799932211783,9.636772684650529,16.546546506215325,0.0,0.0,11.814359458703011,0.0,9.589074368143644,9.290324778525296,0.0,0.0,23.20187978046503,18.19910120538483,13.08951281182515,23.92378351745073,18.716352369618512,40.703625513851605,0.0,4.899909730850477,0.0,0.0,31.203186471701464,39.76828102534148,0.0,0.0,4.899909730850477,10.077801322358384,0.0,23.20187978046503,43.017545930404474,14.325937321943693,5.817220841045894,0.0,28.928426870554254,5.022633313741326,0.0,0.0,49.85,17.631580299748904,13.979489415818463,0.0,21.43934525359432,26.303276740850983,10.966276799312087,12.13273413692322,4.899909730850477,0.0,0.0,27.938742734265084,18.465888719387696,11.761968861899415,27.472397250566896,-0.3181551818258159,0.3316884763164529,-1.8126124100032823,3.626397549760645,0.0,1.8613156227868832,0.0,0.2857142857142857,22,0,5,0,2,2,2,1,0,1,0,0,4,0,8,2,2,0,1,1,0,0,4.075033106932917,3,2.1349,79.17400000000002,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHEMBL2316735,O=C1C(Cl)=C(N2CCOCC2)C(=O)N1c1ccc(F)c(Cl)c1,8320.0,3.920123326290724,CHEMBL2034807,DNA repair protein RAD51 homolog 1,0,Medium-Nonpolar-Aliphatic-Rigid-Hydrophilic
12.558281368102795,12.558281368102795,0.0445833333333329,-0.5088139329805996,0.7798372740791119,19.714285714285715,327.16700000000003,315.071,326.022497604,110,0,0.2829049369765752,-0.3777777516352238,0.3777777516352238,0.2829049369765752,0.9523809523809524,1.5714285714285714,2.1904761904761907,35.496791176237444,10.256259286143898,2.410358313267274,-2.2872900242052805,2.314070232296859,-2.399878290165861,6.522371748485378,-0.1207886185264856,2.7157496215457932,1.917857428816723,621.6112201580773,14.98276318419594,11.012929209914654,12.524787101951564,10.092224152875016,6.461812960742227,7.217741906760682,4.6841417346422505,5.498541988123464,3.416565265318607,4.009215224837148,2.3771684937601205,2.788028488063102,-1.5599999999999996,81298.68067059487,14.380319391846736,5.673993098045311,2.523576314427123,131.21246391919163,9.636772684650529,10.72932566516943,0.0,0.0,11.814359458703011,0.0,9.589074368143644,4.899909730850477,0.0,0.0,23.20187978046503,24.26546827384644,18.112146125566476,18.9011502037094,14.325937321943693,40.703625513851605,0.0,4.899909730850477,0.0,0.0,31.203186471701464,40.017427252757194,0.0,0.0,4.899909730850477,5.687386274683562,0.0,23.20187978046503,43.017545930404474,14.325937321943693,0.0,0.0,34.99479393901587,5.022633313741326,0.0,0.0,49.85,11.814359458703011,9.589074368143644,0.0,10.72932566516943,37.013296329275875,4.899909730850477,0.0,29.165378004696915,0.0,0.0,27.938742734265084,5.249409672118005,11.915072931495487,27.703322844055315,0.4881053400597059,0.7043760235575716,-0.916941295036533,6.477457168052406,0.0,2.1014195379202594,0.0,0.2857142857142857,21,0,5,0,2,2,2,1,0,1,0,0,4,0,7,2,2,0,1,1,0,0,3.8854206179535966,3,1.9958,79.21600000000004,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHEMBL2316733,O=C1C(Cl)=C(N2CCOCC2)C(=O)N1c1ccc(Cl)cc1,38170.0,4.5817221599490985,CHEMBL2034807,DNA repair protein RAD51 homolog 1,0,Medium-Nonpolar-Aliphatic-Rigid-Hydrophilic
11.953742126480222,11.953742126480222,0.0245825477165666,-0.3124832818930039,0.626349323093344,17.05263157894737,271.341,258.23699999999997,271.066699656,96,0,0.2939152754166255,-0.2679251490814113,0.2939152754166255,0.2679251490814113,1.3157894736842106,2.0,2.5789473684210527,32.16666594013145,10.09971009995059,2.3370027423534996,-2.0588830261360633,2.313182115277132,-2.2775178438602075,8.180170738126115,-0.1217781062245711,2.6774630721595485,2.2201132327810535,581.1582919974197,13.828062645816686,10.5502736444024,11.366770225330123,9.151397005390978,5.931544113647975,6.748040694575701,4.06711470112402,5.060306104485123,2.8087202408776255,3.716111964181938,1.728521780716413,2.566815291967708,-1.9899999999999995,24172.1366154564,13.441865694948302,5.766673100451944,2.8838758076945292,116.2256612508684,0.0,0.0,0.0,0.0,11.146391442523791,0.0,14.48898409899412,0.0,0.0,6.423349895620259,37.109639792392706,35.385629662545,0.0,11.449892919802622,9.589074368143644,28.984296498748787,0.0,4.899909730850477,0.0,13.344558822616634,6.544756405912575,40.29750777113048,0.0,12.343784214475903,0.0,4.794537184071822,0.0,11.761884949391115,22.591057579286844,11.21535880699783,12.343784214475903,18.050640183084617,29.170604787736487,0.0,6.076020106833881,0.0,37.38,0.0,9.589074368143644,0.0,17.691147848436366,4.905136513890047,28.646067794864596,5.563451491696996,6.076020106833881,24.26546827384644,12.844171518546268,6.423349895620259,0.0,0.9295150436717894,25.06220278352133,-0.3061311623414795,2.1398091189848047,2.001175329317014,7.899816389518771,7.832182438202217,2.108096725792225,0.0,0.2,19,0,3,0,1,1,2,1,0,1,0,0,3,0,4,1,3,0,1,1,0,0,4.079728701207692,2,2.9185000000000008,77.33000000000003,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,CHEMBL4086023,C#CCN1C(=O)S/C(=C/c2ccc(CC)cc2)C1=O,6500.0,3.812913356642856,CHEMBL4106127,c-Myc/c-Max,0,Medium-Nonpolar-Aliphatic-Rigid-Hydrophilic
11.972763290501383,11.972763290501383,0.0032119236583521,-0.4517947425883932,0.478290111288112,17.4,270.284,256.17199999999997,270.089208928,102,0,0.2348585858561471,-0.4958340114666414,0.4958340114666414,0.2348585858561471,1.1,1.8,2.35,16.477142987033645,10.098933424221372,2.320769351036614,-2.0417957933898623,2.2234564129313767,-2.0842239120897195,6.350156179261843,-0.1168060606052184,2.7627301615292894,2.3345361537401517,621.1367745570088,14.535169427003234,11.251795315372462,11.251795315372462,9.668233757796587,6.031710636090997,6.031710636090997,4.0934792491828835,4.0934792491828835,2.8723991368399213,2.8723991368399213,1.8663221010201123,1.8663221010201123,-2.6199999999999997,42192.41502687531,13.803415241764656,6.015106662419171,2.690681934550066,116.55631867248236,9.473725907600098,11.332269401725442,11.542409818021117,5.783244946364939,0.0,0.0,9.589074368143644,0.0,0.0,0.0,36.407855449141934,11.639471598530877,6.076020106833881,14.219595082555069,19.06280027574374,17.64250999956376,0.0,0.0,0.0,0.0,14.219595082555069,65.13876132105443,0.0,0.0,0.0,0.0,0.0,0.0,25.786084975284943,19.06280027574374,0.0,5.563451491696996,59.57530982935743,0.0,6.076020106833881,0.0,52.6,11.566489892729878,9.589074368143644,0.0,17.09143427338162,0.0,5.563451491696996,20.295615189388947,12.152040213667762,30.33183534230805,0.0,9.473725907600098,10.010319029815784,0.0,23.789461766187955,0.0,0.9416668503821284,-0.5895485848660442,9.522306762785208,4.552718253968253,0.0,2.7730759217267154,0.125,20,0,4,1,0,1,0,1,0,1,0,0,4,0,4,0,4,0,0,0,0,0,4.151450749243846,2,2.2824,74.61700000000003,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,CHEMBL4227292,COC1=CC(=O)/C(=C(\C=C\c2ccccc2)OC)C1=O,8000.0,3.903089986991944,CHEMBL4296101,PTPN9/STAT3,0,Medium-Nonpolar-Aliphatic-Rigid-Hydrophilic
12.018884453472747,12.018884453472747,0.1575415721844293,-3.16625389739229,0.4529471393874327,10.882352941176473,269.3909999999999,254.27099999999996,269.05442072,92,0,0.1781388338067738,-0.2325397005799373,0.2325397005799373,0.1781388338067738,1.2941176470588236,2.0,2.6470588235294117,32.227883513505844,10.236512145809698,2.149652598095382,-2.0604259819675708,2.164351110891041,-2.0828507660580464,7.910504044112801,0.591050242127628,2.2880446199690687,2.635458430052615,517.0620957327682,12.72576835024473,9.718034958860104,11.351028120715558,8.07651548982532,5.397441591348453,7.457955108132471,3.764483560994403,6.024628195127902,2.4261882603444267,4.5095993476563425,1.5439158387536134,3.283787677423927,-1.03,5493.595132545734,14.032617407639323,6.643818378049439,4.382941604623636,107.5005569207282,0.0,0.0,9.837253136417502,0.0,0.0,0.0,0.0,13.410201716964606,0.0,0.0,18.19910120538483,43.61307244874794,6.544756405912575,15.809598934390111,8.417796984328938,27.216388431589746,0.0,0.0,4.992404732635668,24.660863921060415,12.297610012659364,29.828919765543436,0.0,0.0,0.0,0.0,0.0,12.217873443046695,25.87666884911385,9.837253136417502,6.923737199690624,18.405094737549017,34.153356481999886,0.0,0.0,0.0,46.5,9.837253136417502,8.417796984328938,0.0,5.752853606746789,17.86106150435636,11.984273114623004,0.0,12.13273413692322,19.056471336613843,22.37154002780791,0.0,24.037768906945495,4.433812249066803,4.180666021038045,2.2650241174803765,0.7957521835894854,0.1575415721844293,7.0436459166234595,1.3114406179138325,2.3572689792170314,-3.16625389739229,0.4166666666666667,17,0,3,0,0,0,0,1,0,1,0,0,4,0,5,0,6,0,0,0,0,0,5.484127142647684,1,2.651720000000001,72.35880000000003,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,CHEMBL4575527,Cc1ccccc1S(=O)(=O)CCCCN=C=S,10000.0,4.0,CHEMBL612545,Unchecked,0,Medium-Nonpolar-Aliphatic-Rigid-Hydrophilic
11.34220063128132,11.34220063128132,0.1389351851851852,-0.1389351851851852,0.6181146537101186,18.333333333333332,255.75100000000003,249.70299999999995,254.957933492,76,0,0.2630626858155021,-0.3067552269751226,0.3067552269751226,0.2630626858155021,1.3333333333333333,2.0,2.533333333333333,35.49569171151919,10.183847987901816,2.211324690576233,-1.944416405719554,2.2553151358266295,-2.1711705011785116,8.264498091450596,-0.1146540267542623,2.492574104525028,2.2665243120324976,452.99512212016214,10.836498814253964,7.489460690348947,9.878382798222852,7.147867045540841,4.154196291667884,5.7569056360687005,2.9037832573910243,5.059084545852919,1.8098055739679768,3.224461179449472,1.131419919253582,2.301644944853476,-0.8400000000000001,3260.286928718737,10.670299983987857,4.346019918453693,2.589184538508395,101.69227817447351,5.316788604006331,4.320534085558971,0.0,0.0,5.907179729351506,0.0,4.794537184071822,0.0,0.0,0.0,47.713432419593545,23.772205735454097,5.022633313741326,4.905136513890047,4.794537184071822,51.884432204414686,0.0,5.316788604006331,0.0,0.0,0.0,39.75668959317481,0.0,0.0,5.316788604006331,0.0,0.0,35.580698282670326,10.227713814910476,4.794537184071822,0.0,5.563451491696996,29.170604787736487,5.022633313741326,6.076020106833881,0.0,29.1,0.0,4.794537184071822,0.0,5.907179729351506,14.248303913190345,5.563451491696996,11.761884949391115,18.208754243757102,12.13273413692322,5.316788604006331,23.81881333327921,0.5001977128299884,11.905039472579151,11.955462158114274,3.2366381470283594,0.9321759259259264,-0.1389351851851852,7.266535966238347,1.7873302469135803,0.0,0.0,0.0,15,1,2,0,1,1,1,1,0,1,0,0,3,1,5,1,1,0,1,1,0,0,3.091555751085823,2,2.828800000000001,67.76070000000001,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,CHEMBL201467,O=C1NC(=S)S/C1=C\c1ccc(Cl)cc1,4100.0,3.612783856719735,CHEMBL4106127,c-Myc/c-Max,0,Medium-Nonpolar-Aliphatic-Rigid-Hydrophilic
