CID,MW,XLogP3,HBDC,HDAC,RBC,ExactMass,MonoMass,TPSA,HAC,Charge,Complexity,IsotopeAtoms,DASC,UASC,DBSC,UBSC,CBU,chembl_id,ic50_value,log_ic50,target_chembl_id,target_name
145954661,603.6,2.6,3,12,12,603.09813635,603.09813635,200.0,41,0,1120.0,0,0,0,0,0,1,CHEMBL4169869,1300.0,3.113943352306837,CHEMBL3038498,Keap1/Nrf2
1271003,249.4,3.6,1,3,2,249.02820632,249.02820632,86.5,16,0,330.0,0,0,0,1,0,1,CHEMBL443375,18310.0,4.262688344301696,CHEMBL612518,LNCaP
16090384,445.5,4.9,1,5,9,445.18892296,445.18892296,76.1,33,0,669.0,0,0,2,0,0,1,CHEMBL182052,90000.0,4.954242509439325,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
71546836,406.1,3.2,0,4,2,403.93301,403.93301,49.9,22,0,522.0,0,0,0,0,0,1,CHEMBL2316737,9940.0,3.997386384397313,CHEMBL2034807,DNA repair protein RAD51 homolog 1
5712,304.3,3.1,1,3,4,304.121177757,304.121177757,51.2,23,0,386.0,0,0,0,0,0,1,CHEMBL333985,300.0,2.4771212547196626,CHEMBL614519,ACHN
53322938,458.9,4.6,1,4,5,458.1397203,458.1397203,73.6,33,0,752.0,0,2,1,0,0,1,CHEMBL1688253,2300.0,3.361727836017593,CHEMBL5023,p53-binding protein Mdm-2
44595744,492.9,4.7,1,5,7,492.1451996,492.1451996,95.6,35,0,785.0,0,0,1,0,0,1,CHEMBL1834375,492.0,2.69196510276736,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
25044910,422.9,3.4,3,6,5,422.0274104,422.0274104,137.0,27,0,600.0,0,0,0,0,0,1,CHEMBL522416,690.0,2.838849090737255,CHEMBL1949,Cyclophilin A
58573678,470.4,4.7,1,5,5,469.0881348,469.0881348,83.1,30,0,717.0,0,3,0,0,0,1,CHEMBL4111356,120.0,2.0791812460476247,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
164769789,520.1,5.2,3,7,6,519.2513364,519.2513364,99.4,37,0,721.0,0,0,0,0,0,1,CHEMBL5070786,370.0,2.568201724066995,CHEMBL3883320,Histone-lysine N-methyltransferase 2A/WDR5
171355535,654.7,4.9,1,9,13,654.26537659,654.26537659,96.7,48,0,966.0,0,4,1,0,0,1,CHEMBL5277151,1.17,0.06818586174616162,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
118714462,2380.9,-4.7,28,31,73,2380.3282819,2379.3249271,903.0,168,0,5250.0,0,21,0,0,0,1,CHEMBL3335437,25000.0,4.3979400086720375,CHEMBL3430909,Transcriptional coactivator YAP1/Transcriptional enhancer factor TEF-1
53317544,1833.1,3.0,21,24,55,1831.91582334,1831.91582334,652.0,132,0,3830.0,0,13,0,0,0,1,CHEMBL1689398,6.2,0.7923916894982539,CHEMBL5023,p53-binding protein Mdm-2
156276763,446.9,4.2,2,7,3,446.1321099,446.1321099,66.5,31,0,762.0,0,1,0,0,0,1,CHEMBL5430107,18.5,1.2671717284030137,CHEMBL4105786,B-cell lymphoma 6 protein
16020063,337.8,4.2,1,2,2,337.0981898,337.0981898,49.0,24,0,471.0,0,0,1,0,0,1,CHEMBL1333839,1500.0,3.1760912590556813,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
