chembl_id,ic50_value,units,pchembl_value,target_chembl_id,target_name,assay_chembl_id,activity_comment
CHEMBL489637,580,nM,6.24,CHEMBL1949,Cyclophilin A,CHEMBL960175,
CHEMBL489821,920,nM,6.04,CHEMBL1949,Cyclophilin A,CHEMBL3060856,
CHEMBL489822,460,nM,6.34,CHEMBL1949,Cyclophilin A,CHEMBL960175,
CHEMBL490247,450,nM,6.35,CHEMBL1949,Cyclophilin A,CHEMBL960175,
CHEMBL490848,740,nM,6.13,CHEMBL1949,Cyclophilin A,CHEMBL3060856,
CHEMBL492070,590,nM,6.23,CHEMBL1949,Cyclophilin A,CHEMBL960175,
CHEMBL518980,740,nM,6.13,CHEMBL1949,Cyclophilin A,CHEMBL960175,
CHEMBL521943,650,nM,6.19,CHEMBL1949,Cyclophilin A,CHEMBL960175,
CHEMBL522094,600,nM,6.22,CHEMBL1949,Cyclophilin A,CHEMBL960175,
CHEMBL522416,690,nM,6.16,CHEMBL1949,Cyclophilin A,CHEMBL960175,
CHEMBL525897,263,nM,6.58,CHEMBL1949,Cyclophilin A,CHEMBL1056315,
CHEMBL540193,6000,nM,5.22,CHEMBL1949,Cyclophilin A,CHEMBL666527,
CHEMBL540479,620,nM,6.21,CHEMBL1949,Cyclophilin A,CHEMBL1056315,
CHEMBL549755,136,nM,6.87,CHEMBL1949,Cyclophilin A,CHEMBL1056315,
CHEMBL551508,159,nM,6.8,CHEMBL1949,Cyclophilin A,CHEMBL1056315,
CHEMBL552181,370,nM,6.43,CHEMBL1949,Cyclophilin A,CHEMBL1056315,
