chembl_id,ic50_value,units,pchembl_value,target_chembl_id,target_name,assay_chembl_id,activity_comment
CHEMBL467229,100,nM,7,CHEMBL4860,Apoptosis regulator Bcl-2,CHEMBL1019892,
CHEMBL469305,10700,nM,4.97,CHEMBL4860,Apoptosis regulator Bcl-2,CHEMBL1019892,
CHEMBL480008,3000,nM,5.52,CHEMBL4860,Apoptosis regulator Bcl-2,CHEMBL1019892,
CHEMBL480009,1900,nM,5.72,CHEMBL4860,Apoptosis regulator Bcl-2,CHEMBL1019892,
CHEMBL480010,7700,nM,5.11,CHEMBL4860,Apoptosis regulator Bcl-2,CHEMBL1019892,
CHEMBL481409,600,nM,6.22,CHEMBL612545,Unchecked,CHEMBL1107437,
CHEMBL481581,20,nM,7.7,CHEMBL4860,Apoptosis regulator Bcl-2,CHEMBL1019892,
CHEMBL481775,90,nM,7.05,CHEMBL4860,Apoptosis regulator Bcl-2,CHEMBL1019892,
CHEMBL485891,6900,nM,5.16,CHEMBL3817,Bcl2-antagonist of cell death (BAD),CHEMBL958721,
CHEMBL498873,650,nM,6.19,CHEMBL4860,Apoptosis regulator Bcl-2,CHEMBL1019894,
CHEMBL499851,25000,nM,4.6,CHEMBL392,A549,CHEMBL1002037,
CHEMBL500574,150,nM,6.82,CHEMBL4860,Apoptosis regulator Bcl-2,CHEMBL1019892,
CHEMBL500866,140,nM,6.85,CHEMBL4860,Apoptosis regulator Bcl-2,CHEMBL1019892,
CHEMBL501427,9500,nM,5.02,CHEMBL4625,Apoptosis regulator Bcl-X,CHEMBL1002036,
CHEMBL501871,160,nM,6.8,CHEMBL4860,Apoptosis regulator Bcl-2,CHEMBL1019892,
CHEMBL502066,400,nM,6.4,CHEMBL3817,Bcl2-antagonist of cell death (BAD),CHEMBL1019895,
CHEMBL503454,30,nM,7.52,CHEMBL4860,Apoptosis regulator Bcl-2,CHEMBL1019892,
CHEMBL503783,390,nM,6.41,CHEMBL4860,Apoptosis regulator Bcl-2,CHEMBL1014486,
CHEMBL504480,40,nM,7.4,CHEMBL4860,Apoptosis regulator Bcl-2,CHEMBL1019892,
CHEMBL508211,210,nM,6.68,CHEMBL4860,Apoptosis regulator Bcl-2,CHEMBL1014486,
CHEMBL508232,5000,nM,5.3,CHEMBL4625,Apoptosis regulator Bcl-X,CHEMBL1002036,
CHEMBL508392,30,nM,7.52,CHEMBL4860,Apoptosis regulator Bcl-2,CHEMBL1019894,
CHEMBL509208,20,nM,7.7,CHEMBL4860,Apoptosis regulator Bcl-2,CHEMBL1019892,
CHEMBL509351,24000,nM,4.62,CHEMBL392,A549,CHEMBL1002037,
CHEMBL509788,40,nM,7.4,CHEMBL4860,Apoptosis regulator Bcl-2,CHEMBL1019892,
CHEMBL510332,730,nM,6.14,CHEMBL4860,Apoptosis regulator Bcl-2,CHEMBL1019892,
CHEMBL510691,1060,nM,5.97,CHEMBL612545,Unchecked,CHEMBL3117766,
CHEMBL513318,230,nM,6.64,CHEMBL4860,Apoptosis regulator Bcl-2,CHEMBL1019892,
CHEMBL514298,110,nM,6.96,CHEMBL4860,Apoptosis regulator Bcl-2,CHEMBL1019892,
CHEMBL51483,100,nM,7,CHEMBL612545,Unchecked,CHEMBL5228984,
CHEMBL516633,1400,nM,5.85,CHEMBL4860,Apoptosis regulator Bcl-2,CHEMBL1019892,
CHEMBL517577,800,nM,6.1,CHEMBL4860,Apoptosis regulator Bcl-2,CHEMBL1019892,
CHEMBL518649,380,nM,6.42,CHEMBL4860,Apoptosis regulator Bcl-2,CHEMBL1019894,
CHEMBL518858,2300,nM,5.64,CHEMBL4860,Apoptosis regulator Bcl-2,CHEMBL1019892,
CHEMBL520607,3670,nM,5.43,CHEMBL4860,Apoptosis regulator Bcl-2,CHEMBL1019892,
